,bins,completeness,contamination
732,bin.1668,82.02247191011236,1.49812734082397
736,bin.1624,95.5082742316785,3.4278959810874703
741,bin.166,77.20968069961359,1.0290827740492168
744,bin.1675,85.25949705724986,2.808988764044944
746,bin.1632,90.82774049217002,1.922539149888143
748,bin.1653,83.55704697986577,1.9625788082163917
751,bin.1673,92.33870967741936,1.282991202346041
754,bin.1681,72.41379310344827,5.172413793103448
755,bin.1666,86.02150537634408,1.3440860215053763
756,bin.1633,90.49315619967793,1.842793880837359
758,bin.1622,96.64429530201342,0.0
760,bin.1646,95.39007092198581,2.482269503546099
762,bin.167,82.57142857142857,3.5317460317460316
767,bin.1617,87.84246575342466,0.0
768,bin.1676,79.8639455782313,1.7460317460317458
769,bin.1705,92.98245614035088,4.8644338118022326
773,bin.1672,79.76726154159039,3.0201342281879193
789,bin.1709,84.10356619443088,9.8169213948403
791,bin.1689,72.73573200992556,3.225806451612903
792,bin.1699,83.9536302623551,1.342281879194631
793,bin.1690,72.91767310789051,2.5764895330112716
794,bin.1651,90.73685682326621,1.8456375838926173
795,bin.1647,95.62937062937063,4.195804195804196
798,bin.1671,84.10771796641362,1.2077294685990339
805,bin.1697,86.99024822695036,0.0
806,bin.17,82.542194092827,4.641350210970463
808,bin.1702,76.49163738837652,3.276972624798712
809,bin.1716,87.9153439153439,0.7539682539682538
810,bin.1745,92.98245614035088,5.582137161084529
820,bin.1721,79.5346628679962,1.7094017094017093
821,bin.1703,76.28979670118912,3.1645569620253164
824,bin.168,82.95038295038295,4.195804195804196
826,bin.1708,93.66578014184397,8.806146572104018
832,bin.1715,86.55239475289811,1.6778523489932886
835,bin.1722,71.57706093189964,1.2903225806451613
836,bin.1687,100.0,0.7770007770007771
843,bin.1718,87.46175523349437,3.7198067632850242
847,bin.1735,79.06309640180608,4.685099846390169
848,bin.1754,81.24039938556068,3.641542149606666
852,bin.1712,91.03887024608503,2.7964205816554806
858,bin.1737,94.92900608519271,2.036124794745484
860,bin.174,94.9367088607595,2.167242040659762
864,bin.1756,89.75810961968679,0.6921140939597316
869,bin.1757,76.22364194944839,4.577572964669739
871,bin.1728,92.28187919463087,2.0134228187919465
876,bin.1764,74.33275058275059,3.904428904428904
880,bin.1759,81.30904022301873,1.7901234567901234
887,bin.1744,85.43252724287206,6.053639846743295
890,bin.1761,86.61392405063292,4.525316455696203
897,bin.1742,89.38377059182429,1.5100671140939597
899,bin.1793,81.46436718047971,6.456072440727172
901,bin.1786,76.87301587301587,4.523809523809524
914,bin.1802,73.02026133821437,2.4049217002237135
916,bin.1800,78.46161378770074,3.447501209649547
917,bin.1808,82.77113430566116,5.434782608695653
920,bin.1837,87.83585735222277,1.6853932584269662
922,bin.1823,75.95555555555556,8.606060606060607
926,bin.180,89.66153846153847,2.4
930,bin.1787,82.89161392405063,5.432489451476793
935,bin.1846,86.40449438202248,2.9213483146067416
940,bin.1848,86.51685393258427,0.0
944,bin.1821,87.07805907172995,2.9104334484081322
950,bin.186,89.80040477353619,3.5808500244259895
953,bin.1833,91.61772930648769,1.0290827740492168
954,bin.1835,85.12304250559285,1.2038590604026846
960,bin.1844,81.69312169312168,1.8253968253968254
963,bin.1797,91.94630872483222,1.901565995525727
965,bin.1851,74.6284965034965,3.7995337995338
968,bin.1881,84.04982901807523,2.696629213483146
969,bin.1875,80.06839276990718,0.0
970,bin.1840,79.81935654008439,3.90295358649789
972,bin.1866,82.7203660536994,0.28490028490028485
974,bin.1879,83.98876404494382,4.49438202247191
980,bin.1839,91.77852348993288,2.348993288590604
985,bin.1845,83.85648058721267,8.47305389221557
987,bin.1855,77.991341991342,4.603174603174603
992,bin.190,71.38755980861244,6.842105263157895
995,bin.1841,71.50284482479861,2.623994042061269
998,bin.1884,90.59322249339027,3.4675615212527964
1002,bin.1885,83.34451901565996,1.7897091722595075
1004,bin.1860,86.50118203309692,1.4775413711583922
1009,bin.1838,82.86713286713287,2.4475524475524475
1015,bin.1858,95.91023489932886,1.174496644295302
1021,bin.1887,76.02541982976766,2.917581613233787
1022,bin.1876,86.52482269503547,1.7730496453900708
1029,bin.191,72.32663170163171,6.0606060606060606
1032,bin.1891,76.98471705906651,2.5557620817843865
1045,bin.1900,82.76004728132388,2.8368794326241136
1047,bin.1946,75.4949494949495,1.3333333333333333
1051,bin.1943,74.45454545454545,2.0
1057,bin.1898,87.86620890553475,1.1860174781523094
1059,bin.1923,87.52768987341771,1.740506329113924
1068,bin.1919,72.2797723612941,1.6390614216701174
1081,bin.198,84.18940609951846,0.048851978505129456
1082,bin.1971,83.87096774193549,2.089442815249267
1089,bin.1952,84.94568324757005,1.3836477987421383
1098,bin.1912,92.40506329113924,4.166666666666666
1103,bin.1945,81.83724832214764,1.1795810453528575
1106,bin.1968,78.33863275039745,2.9009988249118686
1107,bin.1963,78.46158735001018,0.6152125279642058
1109,bin.199,91.1842841163311,2.237136465324385
1115,bin.1982,89.98881431767339,1.7337807606263982
1118,bin.197,77.68654284783317,8.687683284457478
1119,bin.1975,80.1519726247987,2.7082418386766207
1121,bin.1953,88.94015659955258,1.4751118568232662
1124,bin.1978,84.815668202765,5.362903225806452
1129,bin.1974,80.74476650563606,2.0531400966183573
1130,bin.1987,76.23670212765957,3.782505910165484
1131,bin.1938,95.02997002997003,4.836829836829836
1132,bin.1980,88.42789598108747,1.4184397163120568
1133,bin.2012,81.86813186813187,6.722689075630252
1134,bin.1993,95.99156118143459,0.0
1137,bin.1973,96.53942953020135,8.053691275167786
1139,bin.2009,92.99853372434018,9.274193548387096
1141,bin.1958,89.16798523206752,4.113924050632911
1142,bin.1992,81.9686181434599,4.799578059071729
1148,bin.2004,81.54008438818566,5.652210395090141
1160,bin.2030,72.52688172043011,2.28494623655914
1161,bin.2005,93.09973045822102,2.9649595687331534
1163,bin.2031,81.20385021097046,2.905638665132336
1165,bin.2019,73.28833638397397,3.859060402684564
1174,bin.2029,89.45147679324894,3.90295358649789
1175,bin.2040,80.00815113156885,4.430379746835443
1178,bin.2039,94.74272930648769,0.8389261744966443
1185,bin.2018,94.80273752012883,1.9001610305958134
1188,bin.2045,77.77777777777779,3.368794326241135
1190,bin.2025,81.42541183648567,7.1029082774049215
1194,bin.207,72.99970862470863,4.079254079254079
1197,bin.2024,88.98119122257053,2.2988505747126435
1198,bin.2085,83.01765650080257,6.741573033707865
1199,bin.2072,71.51806526806526,2.389277389277389
1200,bin.2002,90.91163310961967,4.026845637583893
1201,bin.2035,88.5600976205003,2.4049217002237135
1208,bin.2066,75.54530201342281,3.1879194630872485
1212,bin.2084,83.10655284440449,1.718566392479436
1217,bin.2076,80.76213080168777,2.167242040659762
1221,bin.206,95.19015659955258,0.8389261744966443
1222,bin.2109,80.76697606253055,8.63633191429967
1229,bin.2094,74.42592592592592,4.1269841269841265
1232,bin.2093,77.49868143459916,3.5996835443037973
1233,bin.2098,85.24049217002238,3.1879194630872485
1234,bin.2088,93.09071729957806,2.4261603375527425
1235,bin.2111,91.01123595505618,1.172447484123107
1236,bin.2055,94.8202614379085,0.29411764705882354
1240,bin.2080,76.10166259914583,3.0201342281879193
1242,bin.2090,93.38080168776372,2.0569620253164556
1249,bin.2136,72.51461988304094,3.508771929824561
1254,bin.2058,95.45454545454545,0.743006993006993
1257,bin.2097,94.42431561996779,1.1352657004830917
1262,bin.2104,75.99838969404186,5.050034506556246
1266,bin.2145,71.55172413793103,2.586206896551724
1267,bin.214,76.59257449926723,8.587479935794542
1270,bin.2081,86.8148769574944,1.174496644295302
1274,bin.2128,72.94546850998464,8.46774193548387
1277,bin.2125,84.78315592635214,3.5403481012658227
1281,bin.2139,76.8096645238589,4.1128084606345485
1290,bin.2108,89.13580246913581,4.495884773662551
1296,bin.213,91.85880544576197,1.1835748792270533
1301,bin.2132,81.23342374924653,2.742616033755274
1306,bin.2151,70.97701149425288,0.0
1312,bin.2143,93.24894514767932,5.399525316455696
1313,bin.2153,96.19047619047619,7.204700061842919
1316,bin.2180,75.97178683385579,4.310344827586207
1317,bin.2135,70.44122544122543,3.17016317016317
1318,bin.2127,96.01573622127313,5.503355704697986
1320,bin.2160,74.29693961952026,3.2878411910669976
1323,bin.2144,92.17002237136464,3.1879194630872485
1326,bin.2166,80.03660768761439,3.4675615212527964
1334,bin.2210,76.20689655172414,3.4482758620689653
1335,bin.2178,71.79220779220779,4.776334776334776
1342,bin.2183,85.74524608501119,2.348993288590604
1344,bin.2200,73.99038461538461,2.972027972027972
1349,bin.2201,76.50004316670984,3.1623931623931623
1351,bin.2197,91.94440207443564,2.5167785234899327
1353,bin.2171,85.68542568542567,6.92063492063492
1355,bin.218,80.69325808419768,5.704697986577181
1359,bin.2228,75.53911647707446,5.617977528089888
1361,bin.2203,84.5008389261745,1.5100671140939597
1368,bin.2198,79.45303509781357,2.9865506329113924
1373,bin.2184,93.58221476510067,2.867602196461257
1378,bin.2218,87.47203579418344,3.713646532438479
1385,bin.2255,78.25040128410915,0.11235955056179775
1386,bin.225,94.71904266389178,0.8064516129032258
1390,bin.2216,80.08421985815603,3.1693262411347516
1395,bin.2212,96.94148936170212,3.0141843971631204
1397,bin.2213,92.0160864978903,5.063291139240507
1403,bin.2226,92.26002109704642,2.0569620253164556
1408,bin.2256,71.56599552572706,2.0744356314826113
1409,bin.2232,94.35123042505593,8.557046979865772
1410,bin.2261,70.1048951048951,0.29137529137529133
1417,bin.2278,83.59550561797754,5.617977528089888
1427,bin.2293,82.75862068965517,2.586206896551724
1429,bin.2248,87.05673758865248,2.127659574468085
1430,bin.2265,73.274231678487,4.704491725768321
1431,bin.2250,95.76489533011272,0.7648953301127214
1433,bin.2270,89.29324894514768,0.9493670886075949
1439,bin.223,75.24342891278377,3.7962962962962963
1441,bin.228,71.73809523809524,5.158730158730158
1443,bin.2285,72.74309551208286,4.641350210970463
1445,bin.2299,77.01804368471035,3.0328930328930332
1447,bin.2282,85.74603174603175,2.5396825396825395
1448,bin.2300,88.44086021505376,4.374389051808406
1449,bin.2276,88.9701536643026,5.429964539007092
1456,bin.2266,85.87172056131787,4.586129753914988
1457,bin.2267,87.35627637130803,5.537974683544304
1459,bin.2297,84.67561521252797,1.901565995525727
1460,bin.2277,89.49677938808372,1.4492753623188406
1461,bin.2302,86.57142857142857,1.693121693121693
